,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
91,139074,https://www.airbnb.com/rooms/139074,4450132,100,f,Passy,48.87173,2.29071,Entire home/apt,2,1.0,1.0,1.0,115.0,60,365,t,15,5.0,Fair,Paris 16ème
164,55239,https://www.airbnb.com/rooms/55239,260696,100,f,Élysée,48.8726,2.31477,Entire home/apt,4,2.0,1.0,1.0,607.0,1,21,t,22,5.0,Luxury,Paris 8ème
245,310103,https://www.airbnb.com/rooms/310103,1317183,100,f,Buttes-Chaumont,48.87373,2.37575,Entire home/apt,6,2.0,3.0,3.0,390.0,7,31,t,2,5.0,Premium,Paris 19ème
251,314903,https://www.airbnb.com/rooms/314903,1617534,100,f,Popincourt,48.85294,2.37536,Entire home/apt,3,1.0,1.0,1.0,220.0,6,90,t,43,5.0,Fair,Paris 11ème
352,513387,https://www.airbnb.com/rooms/513387,2528877,100,f,Panthéon,48.85176,2.34944,Entire home/apt,6,2.5,2.0,4.0,836.0,4,60,t,34,5.0,Luxury,Paris 5ème
415,458673,https://www.airbnb.com/rooms/458673,2280781,100,f,Passy,48.84609,2.26211,Entire home/apt,4,1.0,0.0,2.0,150.0,3,60,t,1,5.0,Fair,Paris 16ème
584,699404,https://www.airbnb.com/rooms/699404,3583221,100,f,Buttes-Montmartre,48.89176,2.3591,Entire home/apt,2,1.0,1.0,2.0,80.0,2,120,t,3,5.0,Low-cost,Paris 18ème
709,731574,https://www.airbnb.com/rooms/731574,3017944,100,f,Bourse,48.86780548095703,2.348078966140747,Entire home/apt,2,1.0,1.0,1.0,265.0,3,60,t,10,5.0,Premium,Paris 2ème
745,741956,https://www.airbnb.com/rooms/741956,3801904,100,f,Buttes-Chaumont,48.87995189262799,2.391772784379834,Entire home/apt,2,1.0,1.0,3.0,110.0,5,20,t,6,5.0,Fair,Paris 19ème
1004,877645,https://www.airbnb.com/rooms/877645,4637760,100,f,Popincourt,48.86112,2.37427,Entire home/apt,5,2.0,3.0,3.0,360.0,7,30,t,81,5.0,Premium,Paris 11ème
1145,1035222,https://www.airbnb.com/rooms/1035222,7131487,100,t,Buttes-Montmartre,48.88834,2.34563,Entire home/apt,2,1.0,1.0,1.0,130.0,2,365,t,3,5.0,Fair,Paris 18ème
1168,1041094,https://www.airbnb.com/rooms/1041094,3946195,100,f,Panthéon,48.8443315291398,2.35524090035853,Entire home/apt,4,1.0,2.0,4.0,200.0,5,22,t,2,5.0,Fair,Paris 5ème
1496,1380311,https://www.airbnb.com/rooms/1380311,7475220,100,f,Buttes-Chaumont,48.87682,2.39805,Entire home/apt,2,1.0,1.0,1.0,146.0,4,8,t,11,5.0,Fair,Paris 19ème
1518,1222997,https://www.airbnb.com/rooms/1222997,6671281,100,f,Opéra,48.87741,2.3441,Entire home/apt,9,2.0,4.0,4.0,260.0,4,21,t,14,5.0,Premium,Paris 9ème
1661,1541394,https://www.airbnb.com/rooms/1541394,8216186,100,t,Palais-Bourbon,48.85717,2.30814,Entire home/apt,4,1.0,2.0,3.0,450.0,2,7,t,37,5.0,Premium,Paris 7ème
1695,1448260,https://www.airbnb.com/rooms/1448260,7671558,100,f,Élysée,48.88122647195682,2.318588289927572,Entire home/apt,2,1.0,1.0,1.0,115.0,2,365,t,2,5.0,Fair,Paris 8ème
1712,1560263,https://www.airbnb.com/rooms/1560263,8303260,100,f,Buttes-Montmartre,48.89369,2.33516,Entire home/apt,2,1.0,1.0,1.0,329.0,3,15,t,2,5.0,Premium,Paris 18ème
1928,1901080,https://www.airbnb.com/rooms/1901080,9632439,100,f,Buttes-Chaumont,48.87623700713837,2.400181509421948,Private room,2,1.0,1.0,1.0,109.0,2,1125,t,2,5.0,Fair,Paris 19ème
1951,2065057,https://www.airbnb.com/rooms/2065057,2282232,100,f,Popincourt,48.864498,2.375177,Entire home/apt,3,1.0,1.0,1.0,390.0,2,1125,t,33,5.0,Premium,Paris 11ème
2131,2037551,https://www.airbnb.com/rooms/2037551,10453868,100,f,Batignolles-Monceau,48.88401,2.31633,Entire home/apt,2,1.0,1.0,1.0,100.0,4,30,t,1,5.0,Fair,Paris 17ème
2163,2260021,https://www.airbnb.com/rooms/2260021,11540860,100,f,Buttes-Montmartre,48.88814,2.33664,Entire home/apt,2,1.5,1.0,1.0,420.0,1,1125,t,1,5.0,Premium,Paris 18ème
2195,2277264,https://www.airbnb.com/rooms/2277264,9569301,100,f,Gobelins,48.83482,2.37035,Entire home/apt,6,1.0,3.0,3.0,250.0,6,1125,t,11,5.0,Premium,Paris 13ème
2223,2314622,https://www.airbnb.com/rooms/2314622,2838976,100,f,Entrepôt,48.88098,2.36422,Entire home/apt,2,1.0,1.0,1.0,249.0,3,1125,t,21,5.0,Fair,Paris 10ème
2297,2402498,https://www.airbnb.com/rooms/2402498,7854287,100,f,Hôtel-de-Ville,48.85987,2.35425,Entire home/apt,2,1.0,1.0,4.0,240.0,2,20,t,3,5.0,Fair,Paris 4ème
2392,2535230,https://www.airbnb.com/rooms/2535230,12982798,100,f,Passy,48.864576902350514,2.290326765777108,Entire home/apt,4,2.0,2.0,2.0,350.0,7,120,t,2,5.0,Premium,Paris 16ème
2440,2558913,https://www.airbnb.com/rooms/2558913,3743247,100,f,Entrepôt,48.87173,2.35829,Entire home/apt,4,1.0,1.0,2.0,134.0,4,90,t,16,5.0,Fair,Paris 10ème
2506,2727929,https://www.airbnb.com/rooms/2727929,13960346,100,f,Buttes-Montmartre,48.89491700845768,2.3361312007857977,Entire home/apt,3,1.0,2.0,2.0,200.0,2,365,t,6,5.0,Fair,Paris 18ème
2856,3191423,https://www.airbnb.com/rooms/3191423,15316077,100,f,Entrepôt,48.87509,2.352,Entire home/apt,6,2.5,3.0,3.0,395.0,5,21,t,12,5.0,Premium,Paris 10ème
2998,3237092,https://www.airbnb.com/rooms/3237092,7415871,100,f,Observatoire,48.83224,2.31907,Entire home/apt,2,1.0,1.0,1.0,191.0,365,1125,t,1,5.0,Fair,Paris 14ème
