X,Y,id,@id,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alcohol,alt_name,amenity,area,bar,building,building:levels,check_date,check_date:opening_hours,club,concert,contact:city,contact:email,contact:facebook,contact:housenumber,contact:instagram,contact:mastodon,contact:phone,contact:postcode,contact:ra,contact:street,contact:twitter,contact:website,description,email,entrance,facebook,image,level,lgbtq,lgbtq:men,live_music,min_age,music,musical_instrument:piano,name,name:fr,note,old_name,opening_hours,opening_hours:covid19,opening_hours:signed,operator,phone,restaurant,room,smoking,source,survey:date,toilets:wheelchair,website,wheelchair,wikidata,wikipedia,@geometry
2.3886404,48.8580028,way/63638493,way/63638493,,,,,,,,nightclub,,,apartments,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pan Piper,,,,"Mo 00:00-02:00; Fr 19:30-24:00; Sa,Su 00:00-02:00,19:30-24:00",,,,+33 1 40094130,,,dedicated,Bing + cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,https://www.pan-piper.com/,yes,,,center
2.3866197,48.899265,way/64038567,way/64038567,,,"7, 15",,Avenue de la Porte de la Villette,,,nightclub,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glazart,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,https://www.glazart.com/,,Q3108625,,center
2.3698427,48.9012201,way/75221449,way/75221449,Paris,,"29","75018",Avenue de la Porte d'Aubervilliers,,,nightclub,,,yes,"2",,,,,,,,,,https://mastodon.social/@stationgaredesmines,,,,,,,,,,,,,,,,,,,La Station — Gare des Mines,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,https://lastation.paris/,,,,center
2.3939617,48.892647,way/81704888,way/81704888,,,,"75019",,,,nightclub,,,yes,"3",,,,,,,trabendo.paris,,letrabendo,,,,,,trabendo_,,,,,,,,,,,,,,Trabendo,,,,"Mo-Su,PH 07:00-18:00+",,,,+33 1 42 06 05 52,,,,,,,https://www.letrabendo.net/,,Q3227748,fr:Le Trabendo,center
2.3999426,48.8580287,node/308204328,node/308204328,,,,,,,,nightclub,,,,,2023/05/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Goguette,,,,,,,,,,,,,,,,,,,
2.3792527,48.83341,way/366020273,way/366020273,,,,,,,,nightclub,,,boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le bateau phare,,,Batofar,,,,,,,,,,,,https://www.lebateauphare.co/,,Q2365441,fr:Batofar,center
2.2822917,48.8790628,way/393519527,way/393519527,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,Palais Maillot,,,,,,,,,,club,,,,,https://palaismaillot.fr/,,,,center
2.2844479,48.879653,way/394221457,way/394221457,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,,,,Le Milliardaire,,,,,,,,,,,,,,,,,,,center
2.3478047,48.8598453,node/677967538,node/677967538,Paris,FR,"58",,Rue des Lombards,,,nightclub,,,,,2024/02/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Baiser Salé,Le Baiser Salé,,,,,,,,,,no,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,limited,Q3220206,,
2.3372656,48.8624042,node/679480151,node/679480151,Paris,,"2","75001",Place du Palais Royal,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Cabaret,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,
2.3943376,48.8959964,way/966847090,way/966847090,Paris,,"8","75019",Boulevard Macdonald,,,nightclub,yes,,,,,,,,,,,,,,,,,,,,,contact@kilometre25.fr,,,,,,,,,,,Kilomètre25,,,,,,,,,,,,,,,https://www.kilometre25.fr/,,,,center
2.3736247,48.871312,node/1020227152,node/1020227152,,,,,,,,nightclub,,,,,,,,,,,,,,,,,,,,http://www.la-java.fr/,,,,,,,,,,,,,La Java,,,,,,,,,,,,,,,,,Q3209830,fr:La Java,
2.3462981,48.8527871,node/1108414671,node/1108414671,Paris,,"5","75005",Rue de la Huchette,,,nightclub,,,,,2024/03/16,,,,,,,,,,,,,,,,,huchette@aol.com,,,https://upload.wikimedia.org/wikipedia/commons/b/be/Le_Caveau_de_la_Huchette.jpg,,,,,,,yes,Caveau de la Huchette,,,,,,,,"+33143266505",,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,http://www.caveaudelahuchette.fr/,no,Q517995,fr:Le Caveau de la Huchette,
2.326816,48.86998,node/1227307229,node/1227307229,,,"8",,Boulevard de la Madeleine,,,nightclub,,,,,,2024/11/17,,,,,,,,,,,,,,,,,,,,,,,,,,,La Nuit,,,,,,no,,,,,,,,,,,,,
2.3534809,48.8730035,node/1252437598,node/1252437598,,,,,,,,nightclub,,,,,,,,,Paris,,,"7,9",,,,"75010",,Rue des Petites-Écuries,,https://www.newmorning.com/,,,,,,,,,,,,,New Morning,,,,,,,,,,,,,,,,,Q657624,fr:New Morning,
